time_s,scenario,kv_meas,tube_ma,return_ua,temp_c,flux,spot_x_um,spot_y_um,flags
0.000000,emission,50.00308,0.199971,0.54153,24.9936,1.00190,4.98719,5.10883,NONE
0.010000,emission,49.99716,0.202075,0.45052,24.9919,1.01080,5.06230,5.09409,NONE
0.020000,emission,50.00450,0.204834,0.53944,24.9946,1.02066,5.13490,5.10606,NONE
0.030000,emission,49.99640,0.206703,0.48499,25.0026,1.02778,5.20972,5.11329,NONE
0.040000,emission,49.99470,0.208676,0.48340,25.0051,1.03939,5.27377,5.10392,NONE
0.050000,emission,50.00723,0.210124,0.47572,24.9960,1.04770,5.32349,5.09707,NONE
0.060000,emission,50.00494,0.212400,0.49867,25.0100,1.05425,5.37158,5.09899,NONE
0.070000,emission,50.00544,0.214016,0.52391,24.9933,1.06246,5.42720,5.08758,NONE
0.080000,emission,49.99951,0.215351,0.52926,24.9985,1.06707,5.47751,5.10239,NONE
0.090000,emission,50.00575,0.216167,0.50867,25.0089,1.07256,5.50171,5.08985,NONE
0.100000,emission,49.99688,0.216724,0.47020,24.9939,1.07409,5.52179,5.08557,NONE
0.110000,emission,49.99529,0.218169,0.51248,24.9909,1.07888,5.54068,5.10631,NONE
0.120000,emission,50.00706,0.218433,0.54065,24.9930,1.07846,5.54758,5.10386,NONE
0.130000,emission,49.99944,0.218058,0.51598,24.9913,1.07804,5.54639,5.08868,NONE
0.140000,emission,50.00120,0.217796,0.51817,24.9956,1.07899,5.55524,5.09004,NONE
0.150000,emission,49.99702,0.217373,0.51241,24.9931,1.07694,5.51399,5.08916,NONE
0.160000,emission,49.99193,0.216746,0.51373,25.0014,1.07357,5.48769,5.09455,NONE
0.170000,emission,50.00147,0.215149,0.54857,25.0030,1.06743,5.46421,5.10458,NONE
0.180000,emission,50.00795,0.213817,0.47813,24.9976,1.06080,5.42419,5.08806,NONE
0.190000,emission,49.99474,0.212562,0.52949,24.9936,1.05469,5.38766,5.09903,NONE
0.200000,emission,49.99874,0.210837,0.47591,25.0015,1.04764,5.32604,5.08565,NONE
0.210000,emission,49.99330,0.208663,0.53512,25.0092,1.03955,5.27138,5.08776,NONE
0.220000,emission,50.00215,0.206664,0.47222,24.9989,1.03083,5.21286,5.11423,NONE
0.230000,emission,50.00197,0.204758,0.54523,25.0078,1.01937,5.15099,5.10042,NONE
0.240000,emission,49.99495,0.202585,0.53467,25.0051,1.01169,5.05923,5.08559,NONE
0.250000,emission,50.00257,0.199666,0.45922,24.9943,1.00089,4.99270,5.09197,NONE
0.260000,emission,50.00035,0.197556,0.48489,25.0071,0.99188,4.93074,5.09046,NONE
0.270000,emission,49.99119,0.195315,0.48762,25.0006,0.97939,4.85890,5.10627,NONE
0.280000,emission,49.99355,0.193517,0.52682,25.0049,0.96968,4.81223,5.11435,NONE
0.290000,emission,49.99288,0.191048,0.48745,24.9966,0.96281,4.72310,5.09757,NONE
0.300000,emission,50.00253,0.189035,0.46033,25.0004,0.95353,4.69150,5.08710,NONE
0.310000,emission,50.00531,0.187614,0.47072,25.0015,0.94576,4.62374,5.11084,NONE
0.320000,emission,49.99291,0.186607,0.54166,24.9991,0.93888,4.56595,5.10564,NONE
0.330000,emission,50.00635,0.185200,0.54045,24.9980,0.93097,4.53664,5.10983,NONE
0.340000,emission,50.00918,0.183650,0.50728,25.0037,0.92955,4.49872,5.08636,NONE
0.350000,emission,50.00412,0.183054,0.45787,24.9959,0.92479,4.48187,5.11372,NONE
0.360000,emission,50.00592,0.182587,0.51656,25.0022,0.92061,4.46282,5.09031,NONE
0.370000,emission,50.00499,0.182410,0.52434,25.0103,0.91913,4.45674,5.10631,NONE
0.380000,emission,49.99810,0.182041,0.52239,25.0086,0.92155,4.45757,5.09522,NONE
0.390000,emission,50.00454,0.182450,0.52800,25.0048,0.92072,4.47208,5.09779,NONE
0.400000,emission,49.99570,0.183096,0.52829,24.9944,0.92226,4.48812,5.10163,NONE
0.410000,emission,50.00179,0.184177,0.46448,25.0044,0.92887,4.49835,5.10469,NONE
0.420000,emission,50.00070,0.184342,0.46797,24.9917,0.93378,4.52903,5.11213,NONE
0.430000,emission,49.99774,0.186215,0.54997,24.9915,0.94009,4.58041,5.10111,NONE
0.440000,emission,49.99991,0.187180,0.52864,25.0053,0.94369,4.61207,5.09083,NONE
0.450000,emission,49.99741,0.188946,0.50891,24.9923,0.95301,4.68000,5.09010,NONE
0.460000,emission,50.00249,0.191028,0.46502,24.9914,0.96102,4.74938,5.08964,NONE
0.470000,emission,49.99193,0.193858,0.49443,25.0000,0.97036,4.81198,5.11054,NONE
0.480000,emission,49.99100,0.195885,0.49763,24.9957,0.97837,4.86328,5.08864,NONE
0.490000,emission,50.00347,0.197880,0.49365,24.9992,0.98987,4.93867,5.08816,NONE
0.500000,emission,49.99732,0.199543,0.48756,25.0073,1.00001,5.01339,5.10257,NONE
0.510000,emission,49.99392,0.202554,0.53797,24.9917,1.00988,5.05561,5.11219,NONE
0.520000,emission,50.00449,0.204851,0.51294,25.0037,1.02019,5.13957,5.10613,NONE
0.530000,emission,49.99838,0.206516,0.48688,25.0058,1.02782,5.21647,5.10783,NONE
0.540000,emission,49.99028,0.208198,0.46918,24.9929,1.03967,5.26520,5.09857,NONE
0.550000,emission,50.00813,0.210710,0.53930,24.9956,1.04734,5.31297,5.10127,NONE
0.560000,emission,49.99258,0.212011,0.45884,25.0083,1.05542,5.37808,5.08562,NONE
0.570000,emission,50.00660,0.214339,0.45447,25.0060,1.06045,5.42351,5.10529,NONE
0.580000,emission,50.00875,0.215053,0.45773,24.9946,1.06621,5.47637,5.08580,NONE
0.590000,emission,49.99637,0.216657,0.49204,25.0093,1.07322,5.48962,5.10168,NONE
0.600000,emission,50.00507,0.216687,0.52307,25.0057,1.07631,5.51222,5.09986,NONE
0.610000,emission,49.99732,0.217484,0.51375,24.9931,1.07750,5.52748,5.09793,NONE
0.620000,emission,50.00636,0.217686,0.47905,24.9982,1.07985,5.54737,5.08955,NONE
0.630000,emission,50.00688,0.217803,0.48385,24.9939,1.07894,5.54209,5.10284,SPOT_UNSTABLE|EMISSION_ASSOC
0.640000,emission,50.00503,0.217635,0.45519,25.0031,1.07773,5.55042,5.10550,SPOT_UNSTABLE|EMISSION_ASSOC
0.650000,emission,50.00345,0.217062,0.46792,25.0087,1.07762,5.51803,5.11471,SPOT_UNSTABLE|EMISSION_ASSOC
0.660000,emission,50.00955,0.216015,0.49579,25.0071,1.07311,5.48603,5.08758,SPOT_UNSTABLE|EMISSION_ASSOC
0.670000,emission,50.00605,0.214875,0.51662,24.9931,1.06830,5.46293,5.09899,SPOT_UNSTABLE|EMISSION_ASSOC
0.680000,emission,49.99124,0.213832,0.48484,24.9951,1.06310,5.42926,5.09381,SPOT_UNSTABLE|EMISSION_ASSOC
0.690000,emission,50.00688,0.211846,0.53819,24.9946,1.05420,5.36207,5.09693,SPOT_UNSTABLE|EMISSION_ASSOC
0.700000,emission,50.00146,0.210638,0.47213,25.0022,1.04562,5.32528,5.11094,SPOT_UNSTABLE|EMISSION_ASSOC
0.710000,emission,49.99118,0.209129,0.46741,25.0080,1.03900,5.25438,5.09356,SPOT_UNSTABLE|EMISSION_ASSOC
0.720000,emission,50.00461,0.207101,0.52318,24.9961,1.03134,5.20291,5.10968,SPOT_UNSTABLE|EMISSION_ASSOC
0.730000,emission,50.00096,0.204380,0.53590,24.9968,1.01858,5.13522,5.11068,SPOT_UNSTABLE|EMISSION_ASSOC
0.740000,emission,50.00275,0.202419,0.48042,24.9963,1.01171,5.06129,5.10504,SPOT_UNSTABLE|EMISSION_ASSOC
0.750000,emission,50.00789,0.199754,0.49471,25.0065,1.00136,4.99075,5.08889,SPOT_UNSTABLE|EMISSION_ASSOC
0.760000,emission,50.00085,0.198002,0.49616,25.0049,0.98977,4.93972,5.09708,SPOT_UNSTABLE|EMISSION_ASSOC
0.770000,emission,50.00612,0.195864,0.54169,25.0085,0.97859,4.86428,5.10001,SPOT_UNSTABLE|EMISSION_ASSOC
0.780000,emission,49.99406,0.193415,0.51064,25.0066,0.97031,4.78322,5.11281,SPOT_UNSTABLE|EMISSION_ASSOC
0.790000,emission,50.00048,0.190982,0.51990,24.9917,0.96251,4.74890,5.08874,SPOT_UNSTABLE|EMISSION_ASSOC
0.800000,emission,49.99643,0.189702,0.48296,25.0052,0.95098,4.66699,5.10681,SPOT_UNSTABLE|EMISSION_ASSOC
0.810000,emission,49.99958,0.187515,0.48408,25.0110,0.94717,4.61487,5.09706,SPOT_UNSTABLE|EMISSION_ASSOC
0.820000,emission,50.00988,0.186517,0.46864,25.0054,0.94002,4.57467,5.08969,SPOT_UNSTABLE|EMISSION_ASSOC
0.830000,emission,50.00869,0.184750,0.53844,24.9967,0.93389,4.52575,5.08901,SPOT_UNSTABLE|EMISSION_ASSOC
0.840000,emission,50.00022,0.183864,0.45800,25.0068,0.92936,4.50329,5.08966,SPOT_UNSTABLE|EMISSION_ASSOC
0.850000,emission,50.00504,0.183366,0.53446,24.9924,0.92552,4.46756,5.10330,SPOT_UNSTABLE|EMISSION_ASSOC
0.860000,emission,49.99841,0.182480,0.47409,25.0023,0.92336,4.46595,5.10719,SPOT_UNSTABLE|EMISSION_ASSOC
0.870000,emission,50.00934,0.182014,0.54053,24.9996,0.92050,4.45011,5.09912,SPOT_UNSTABLE|EMISSION_ASSOC
0.880000,emission,50.00781,0.181862,0.46005,25.0030,0.92152,4.43671,5.09608,SPOT_UNSTABLE|EMISSION_ASSOC
0.890000,emission,49.99341,0.182759,0.46086,25.0097,0.92185,4.45341,5.09304,SPOT_UNSTABLE|EMISSION_ASSOC
0.900000,emission,50.00714,0.183271,0.49406,25.0104,0.92512,4.48385,5.08990,SPOT_UNSTABLE|EMISSION_ASSOC
0.910000,emission,50.00629,0.184101,0.54597,24.9967,0.92807,4.49354,5.09427,SPOT_UNSTABLE|EMISSION_ASSOC
0.920000,emission,50.00074,0.184871,0.53678,24.9973,0.93236,4.53398,5.09029,SPOT_UNSTABLE|EMISSION_ASSOC
0.930000,emission,49.99031,0.186004,0.50756,25.0060,0.94016,4.58740,5.08820,SPOT_UNSTABLE|EMISSION_ASSOC
0.940000,emission,49.99890,0.187895,0.47319,24.9976,0.94690,4.61250,5.09768,SPOT_UNSTABLE|EMISSION_ASSOC
0.950000,emission,49.99714,0.189659,0.48278,24.9988,0.95238,4.69158,5.10628,SPOT_UNSTABLE|EMISSION_ASSOC
0.960000,emission,49.99796,0.191579,0.53827,25.0058,0.96100,4.72231,5.09481,SPOT_UNSTABLE|EMISSION_ASSOC
0.970000,emission,49.99156,0.192886,0.49271,24.9978,0.96989,4.78367,5.11087,SPOT_UNSTABLE|EMISSION_ASSOC
0.980000,emission,50.00789,0.195052,0.54638,25.0065,0.98044,4.87476,5.10273,SPOT_UNSTABLE|EMISSION_ASSOC
0.990000,emission,49.99004,0.198004,0.46451,24.9968,0.98846,4.94252,5.09811,SPOT_UNSTABLE|EMISSION_ASSOC
1.000000,emission,49.99155,0.200483,0.45787,24.9994,1.00155,5.00081,5.09875,SPOT_UNSTABLE|EMISSION_ASSOC
1.010000,emission,49.99227,0.201899,0.54133,24.9947,1.00827,5.07269,5.09739,SPOT_UNSTABLE|EMISSION_ASSOC
1.020000,emission,49.99063,0.204165,0.54495,24.9936,1.01908,5.14881,5.10850,SPOT_UNSTABLE|EMISSION_ASSOC
1.030000,emission,50.00920,0.206807,0.54558,25.0120,1.02942,5.19600,5.11476,SPOT_UNSTABLE|EMISSION_ASSOC
1.040000,emission,50.00389,0.208892,0.54387,24.9990,1.03863,5.26443,5.10039,SPOT_UNSTABLE|EMISSION_ASSOC
1.050000,emission,50.00077,0.210233,0.49563,24.9959,1.04773,5.31527,5.10541,SPOT_UNSTABLE|EMISSION_ASSOC
1.060000,emission,49.99132,0.212501,0.53214,25.0016,1.05564,5.39078,5.08505,SPOT_UNSTABLE|EMISSION_ASSOC
1.070000,emission,49.99243,0.214273,0.45971,25.0085,1.06198,5.40975,5.10066,SPOT_UNSTABLE|EMISSION_ASSOC
1.080000,emission,50.00864,0.214960,0.53040,25.0016,1.06605,5.45854,5.09257,SPOT_UNSTABLE|EMISSION_ASSOC
1.090000,emission,49.99314,0.215802,0.47002,24.9952,1.07362,5.50499,5.10292,SPOT_UNSTABLE|EMISSION_ASSOC
1.100000,emission,50.00629,0.217309,0.52903,25.0054,1.07547,5.52950,5.10280,SPOT_UNSTABLE|EMISSION_ASSOC
1.110000,emission,50.00908,0.218174,0.47079,25.0113,1.07823,5.52886,5.10121,SPOT_UNSTABLE|EMISSION_ASSOC
1.120000,emission,50.00251,0.218290,0.46101,24.9983,1.07789,5.55927,5.10663,SPOT_UNSTABLE|EMISSION_ASSOC
1.130000,emission,50.00928,0.217743,0.54295,25.0111,1.07835,5.53659,5.10552,SPOT_UNSTABLE|EMISSION_ASSOC
