time_s,scenario,kv_meas,tube_ma,return_ua,temp_c,flux,spot_x_um,spot_y_um,flags
0.000000,kv-ripple,50.00308,0.199971,0.54153,24.9936,1.00190,4.98719,5.10883,NONE
0.010000,kv-ripple,50.09116,0.199819,0.45052,24.9919,1.00078,5.04977,5.13169,NONE
0.020000,kv-ripple,50.19102,0.200358,0.53944,24.9946,1.00077,5.11003,5.18067,NONE
0.030000,kv-ripple,50.27249,0.200076,0.48499,25.0026,0.99833,5.17291,5.22372,NONE
0.040000,kv-ripple,50.35602,0.200005,0.48340,25.0051,1.00085,5.22560,5.24844,NONE
0.050000,kv-ripple,50.44807,0.199544,0.47572,24.9960,1.00068,5.26472,5.27341,NONE
0.060000,kv-ripple,50.51835,0.200078,0.49867,25.0100,0.99949,5.30313,5.30436,NONE
0.070000,kv-ripple,50.58333,0.200147,0.52391,24.9933,1.00081,5.35015,5.31873,NONE
0.080000,kv-ripple,50.63276,0.200153,0.52926,24.9985,0.99952,5.39308,5.35569,NONE
0.090000,kv-ripple,50.68437,0.199880,0.50867,25.0089,1.00018,5.41123,5.36130,NONE
0.100000,kv-ripple,50.71017,0.199605,0.47020,24.9939,0.99800,5.42669,5.37088,NONE
0.110000,kv-ripple,50.73201,0.200488,0.51248,24.9909,1.00030,5.44245,5.40099,NONE
0.120000,kv-ripple,50.75558,0.200469,0.54065,24.9930,0.99862,5.44778,5.40327,NONE
0.130000,kv-ripple,50.74796,0.200094,0.51598,24.9913,0.99820,5.44659,5.38809,NONE
0.140000,kv-ripple,50.73791,0.200115,0.51817,24.9956,1.00041,5.45701,5.38473,NONE
0.150000,kv-ripple,50.71031,0.200254,0.51241,24.9931,1.00085,5.41888,5.37448,NONE
0.160000,kv-ripple,50.67055,0.200459,0.51373,25.0014,1.00118,5.39721,5.36599,NONE
0.170000,kv-ripple,50.63472,0.199952,0.54857,25.0030,0.99989,5.37978,5.35788,NONE
0.180000,kv-ripple,50.58583,0.199948,0.47813,24.9976,0.99916,5.34714,5.31921,NONE
0.190000,kv-ripple,50.50816,0.200240,0.52949,24.9936,0.99992,5.31920,5.30439,NONE
