time_s,scenario,kv_meas,tube_ma,return_ua,temp_c,flux,spot_x_um,spot_y_um,flags
0.000000,leakage,50.00308,0.199971,0.54153,24.9936,1.00190,4.98719,5.10883,NONE
0.010000,leakage,49.99716,0.199819,0.47565,24.9919,1.00078,4.99902,5.09849,NONE
0.020000,leakage,50.00450,0.200358,0.58970,24.9946,1.00077,5.00943,5.11486,NONE
0.030000,leakage,49.99640,0.200076,0.56037,25.0026,0.99833,5.02421,5.12648,NONE
0.040000,leakage,49.99470,0.200005,0.58389,25.0051,1.00085,5.03142,5.12150,NONE
0.050000,leakage,50.00723,0.199544,0.60131,24.9960,1.00068,5.02847,5.11905,NONE
0.060000,leakage,50.00494,0.200078,0.64932,25.0100,0.99949,5.02898,5.12536,NONE
0.070000,leakage,50.00544,0.200147,0.69961,24.9933,1.00081,5.04295,5.11832,NONE
0.080000,leakage,49.99951,0.200153,0.72998,24.9985,0.99952,5.05829,5.13751,NONE
0.090000,leakage,50.00575,0.199880,0.73438,25.0089,1.00018,5.05484,5.12935,NONE
0.100000,leakage,49.99688,0.199605,0.72087,24.9939,0.99800,5.05511,5.12943,NONE
0.110000,leakage,49.99529,0.200488,0.78806,24.9909,1.00030,5.06242,5.15453,NONE
0.120000,leakage,50.00706,0.200469,0.84110,24.9930,0.99862,5.06627,5.15644,NONE
0.130000,leakage,49.99944,0.200094,0.84125,24.9913,0.99820,5.07066,5.14561,NONE
0.140000,leakage,50.00120,0.200115,0.86822,24.9956,1.00041,5.09374,5.15130,NONE
0.150000,leakage,49.99702,0.200254,0.88717,24.9931,1.00085,5.07523,5.15475,NONE
0.160000,leakage,49.99193,0.200459,0.91315,25.0014,1.00118,5.07990,5.16444,NONE
0.170000,leakage,50.00147,0.199952,0.97259,25.0030,0.99989,5.09523,5.17878,NONE
0.180000,leakage,50.00795,0.199948,0.92668,24.9976,0.99916,5.10133,5.16655,NONE
0.190000,leakage,49.99474,0.200240,1.00249,24.9936,0.99992,5.11758,5.18180,NONE
0.200000,leakage,49.99874,0.200257,0.97329,25.0015,1.00062,5.11467,5.17269,NONE
0.210000,leakage,49.99330,0.199992,1.05680,25.0092,1.00101,5.12379,5.17905,NONE
0.220000,leakage,50.00215,0.200038,1.01812,24.9989,1.00138,5.13322,5.20976,NONE
0.230000,leakage,50.00197,0.200281,1.11527,25.0078,0.99948,5.14247,5.20017,NONE
0.240000,leakage,49.99495,0.200329,1.12875,25.0051,1.00166,5.12397,5.18955,NONE
0.250000,leakage,50.00257,0.199666,1.07726,24.9943,1.00089,5.13176,5.20012,NONE
0.260000,leakage,50.00035,0.199812,1.12678,25.0071,1.00190,5.14410,5.20279,NONE
0.270000,leakage,49.99119,0.199791,1.15326,25.0006,0.99929,5.14544,5.22276,NONE
0.280000,leakage,49.99355,0.200144,1.21611,25.0049,0.99913,5.16978,5.23497,NONE
0.290000,leakage,49.99288,0.199719,1.20027,24.9966,1.00135,5.14845,5.22231,NONE
0.300000,leakage,50.00253,0.199615,1.19658,25.0004,1.00055,5.18044,5.21594,NONE
0.310000,leakage,50.00531,0.199936,1.23028,25.0015,1.00053,5.17114,5.24376,NONE
0.320000,leakage,49.99291,0.200476,1.32441,24.9991,1.00052,5.16586,5.24262,NONE
0.330000,leakage,50.00635,0.200398,1.34627,24.9980,0.99851,5.18233,5.25085,NONE
0.340000,leakage,50.00918,0.199937,1.33603,25.0037,1.00194,5.18284,5.23139,NONE
0.350000,leakage,50.00412,0.200173,1.30943,24.9959,1.00087,5.19656,5.26274,NONE
0.360000,leakage,50.00592,0.200268,1.39079,25.0022,0.99919,5.19978,5.24330,NONE
0.370000,leakage,50.00499,0.200374,1.42111,25.0103,0.99897,5.20742,5.26324,NONE
0.380000,leakage,49.99810,0.200006,1.44155,25.0086,1.00139,5.21330,5.25608,NONE
0.390000,leakage,50.00454,0.200131,1.46941,25.0048,0.99930,5.22415,5.26253,NONE
0.400000,leakage,49.99570,0.200215,1.49180,24.9944,0.99835,5.22799,5.27024,NONE
0.410000,leakage,50.00179,0.200464,1.44993,25.0044,1.00126,5.21774,5.27714,NONE
0.420000,leakage,50.00070,0.199540,1.47522,24.9917,1.00132,5.22005,5.28840,NONE
0.430000,leakage,49.99774,0.200085,1.57885,24.9915,1.00173,5.23569,5.28116,NONE
0.440000,leakage,49.99991,0.199502,1.57899,25.0053,0.99845,5.22490,5.27464,NONE
0.450000,leakage,49.99741,0.199527,1.58057,24.9923,1.00003,5.24441,5.27764,NONE
0.460000,leakage,50.00249,0.199700,1.55781,24.9914,0.99956,5.26022,5.28088,NONE
0.470000,leakage,49.99193,0.200485,1.60818,25.0000,0.99981,5.26505,5.30545,NONE
0.480000,leakage,49.99100,0.200361,1.63216,24.9957,0.99826,5.25533,5.28718,NONE
0.490000,leakage,50.00347,0.200136,1.64879,24.9992,0.99990,5.26751,5.29031,NONE
0.500000,leakage,49.99732,0.199543,1.66313,25.0073,1.00001,5.27789,5.30830,NONE
0.510000,leakage,49.99392,0.200298,1.73378,24.9917,0.99985,5.25573,5.32146,NONE
0.520000,leakage,50.00449,0.200375,1.72880,25.0037,1.00030,5.27636,5.31891,NONE
0.530000,leakage,49.99838,0.199890,1.72260,25.0058,0.99837,5.29204,5.32408,NONE
0.540000,leakage,49.99028,0.199526,1.72456,24.9929,1.00113,5.28270,5.31827,NONE
0.550000,leakage,50.00813,0.200130,1.81415,24.9956,1.00031,5.27653,5.32437,NONE
0.560000,leakage,49.99258,0.199689,1.75295,25.0083,1.00065,5.29275,5.31209,NONE
0.570000,leakage,50.00660,0.200470,1.76765,25.0060,0.99881,5.29519,5.33510,NONE
0.580000,leakage,50.00875,0.199855,1.78975,24.9946,0.99867,5.31170,5.31890,NONE
0.590000,leakage,49.99637,0.200370,1.84271,25.0093,1.00083,5.29587,5.33805,NONE
0.600000,leakage,50.00507,0.199568,1.89216,25.0057,1.00023,5.29719,5.33945,NONE
0.610000,leakage,49.99732,0.199803,1.90106,24.9931,0.99891,5.29937,5.34071,NONE
0.620000,leakage,50.00636,0.199721,1.88435,24.9982,1.00001,5.31465,5.33548,NONE
0.630000,leakage,50.00688,0.199839,1.90692,24.9939,0.99909,5.31337,5.35188,SPOT_UNSTABLE|LEAKAGE_ASSOC
0.640000,leakage,50.00503,0.199954,1.89581,25.0031,0.99915,5.33430,5.35761,SPOT_UNSTABLE|LEAKAGE_ASSOC
0.650000,leakage,50.00345,0.199943,1.92586,25.0087,1.00154,5.32299,5.36985,SPOT_UNSTABLE|LEAKAGE_ASSOC
0.660000,leakage,50.00955,0.199728,1.97082,25.0071,1.00073,5.32026,5.34571,SPOT_UNSTABLE|LEAKAGE_ASSOC
0.670000,leakage,50.00605,0.199677,2.00851,24.9931,1.00075,5.33422,5.36007,SPOT_UNSTABLE|LEAKAGE_ASSOC
0.680000,leakage,49.99124,0.199962,1.99335,24.9951,1.00146,5.34489,5.35780,SPOT_UNSTABLE|LEAKAGE_ASSOC
0.690000,leakage,50.00688,0.199524,2.06308,24.9946,0.99944,5.32867,5.36378,SPOT_UNSTABLE|LEAKAGE_ASSOC
0.700000,leakage,50.00146,0.200058,2.01316,25.0022,0.99860,5.34873,5.38062,SPOT_UNSTABLE|LEAKAGE_ASSOC
0.710000,leakage,49.99118,0.200457,2.02433,25.0080,1.00046,5.33972,5.36603,SPOT_UNSTABLE|LEAKAGE_ASSOC
0.720000,leakage,50.00461,0.200475,2.09575,24.9961,1.00189,5.35427,5.38488,SPOT_UNSTABLE|LEAKAGE_ASSOC
0.730000,leakage,50.00096,0.199903,2.12388,24.9968,0.99869,5.35574,5.38858,SPOT_UNSTABLE|LEAKAGE_ASSOC
0.740000,leakage,50.00275,0.200163,2.08355,24.9963,1.00168,5.35306,5.38559,SPOT_UNSTABLE|LEAKAGE_ASSOC
0.750000,leakage,50.00789,0.199754,2.11274,25.0065,1.00136,5.35481,5.37204,SPOT_UNSTABLE|LEAKAGE_ASSOC
0.760000,leakage,50.00085,0.200258,2.12883,25.0049,0.99979,5.37601,5.38280,NONE
0.770000,leakage,50.00612,0.200340,2.18876,25.0085,0.99848,5.37165,5.38824,NONE
0.780000,leakage,49.99406,0.200041,2.17183,25.0066,0.99976,5.35945,5.40352,NONE
0.790000,leakage,50.00048,0.199654,2.19495,24.9917,1.00106,5.39075,5.38187,NONE
0.800000,leakage,49.99643,0.200282,2.17161,25.0052,0.99801,5.37022,5.40232,NONE
0.810000,leakage,49.99958,0.199837,2.18607,25.0110,1.00194,5.37432,5.39491,NONE
0.820000,leakage,50.00988,0.200386,2.18369,25.0054,1.00166,5.38434,5.38982,NONE
0.830000,leakage,50.00869,0.199948,2.26629,24.9967,1.00143,5.37890,5.39138,NONE
0.840000,leakage,50.00022,0.200151,2.19837,25.0068,1.00175,5.39253,5.39423,NONE
0.850000,leakage,50.00504,0.200485,2.28707,24.9924,1.00160,5.38497,5.41001,NONE
0.860000,leakage,49.99841,0.200162,2.23867,25.0023,1.00194,5.40324,5.41599,NONE
0.870000,leakage,50.00934,0.199979,2.31681,24.9996,1.00034,5.39869,5.40997,NONE
0.880000,leakage,50.00781,0.199827,2.24773,25.0030,1.00136,5.38785,5.40893,NONE
0.890000,leakage,49.99341,0.200440,2.25968,25.0097,1.00043,5.39840,5.40783,NONE
0.900000,leakage,50.00714,0.200390,2.30371,25.0104,1.00120,5.41410,5.40659,NONE
0.910000,leakage,50.00629,0.200388,2.36618,24.9967,1.00045,5.40074,5.41281,NONE
0.920000,leakage,50.00074,0.200069,2.36726,24.9973,0.99991,5.41022,5.41062,NONE
0.930000,leakage,49.99031,0.199873,2.34802,25.0060,1.00180,5.42528,5.41028,NONE
