time_s,scenario,kv_meas,tube_ma,return_ua,temp_c,flux,spot_x_um,spot_y_um,flags
0.000000,normal,50.00308,0.199971,0.54153,24.9936,1.00190,4.98719,5.10883,NONE
0.010000,normal,49.99716,0.199819,0.45052,24.9919,1.00078,4.99337,5.09409,NONE
0.020000,normal,50.00450,0.200358,0.53944,24.9946,1.00077,4.99812,5.10606,NONE
0.030000,normal,49.99640,0.200076,0.48499,25.0026,0.99833,5.00725,5.11329,NONE
0.040000,normal,49.99470,0.200005,0.48340,25.0051,1.00085,5.00881,5.10392,NONE
0.050000,normal,50.00723,0.199544,0.47572,24.9960,1.00068,5.00021,5.09707,NONE
0.060000,normal,50.00494,0.200078,0.49867,25.0100,0.99949,4.99508,5.09899,NONE
0.070000,normal,50.00544,0.200147,0.52391,24.9933,1.00081,5.00342,5.08758,NONE
0.080000,normal,49.99951,0.200153,0.52926,24.9985,0.99952,5.01313,5.10239,NONE
0.090000,normal,50.00575,0.199880,0.50867,25.0089,1.00018,5.00405,5.08985,NONE
0.100000,normal,49.99688,0.199605,0.47020,24.9939,0.99800,4.99871,5.08557,NONE
0.110000,normal,49.99529,0.200488,0.51248,24.9909,1.00030,5.00042,5.10631,NONE
0.120000,normal,50.00706,0.200469,0.54065,24.9930,0.99862,4.99867,5.10386,NONE
0.130000,normal,49.99944,0.200094,0.51598,24.9913,0.99820,4.99748,5.08868,NONE
0.140000,normal,50.00120,0.200115,0.51817,24.9956,1.00041,5.01498,5.09004,NONE
0.150000,normal,49.99702,0.200254,0.51241,24.9931,1.00085,4.99091,5.08916,NONE
0.160000,normal,49.99193,0.200459,0.51373,25.0014,1.00118,4.99003,5.09455,NONE
0.170000,normal,50.00147,0.199952,0.54857,25.0030,0.99989,4.99983,5.10458,NONE
0.180000,normal,50.00795,0.199948,0.47813,24.9976,0.99916,5.00040,5.08806,NONE
0.190000,normal,49.99474,0.200240,0.52949,24.9936,0.99992,5.01115,5.09903,NONE
0.200000,normal,49.99874,0.200257,0.47591,25.0015,1.00062,5.00276,5.08565,NONE
