time_s,scenario,kv_meas,tube_ma,return_ua,temp_c,flux,spot_x_um,spot_y_um,flags
0.000000,optical,50.00308,0.199971,0.54153,24.9936,1.00190,4.98719,5.10883,NONE
0.010000,optical,49.99716,0.199819,0.45052,24.9919,1.00078,5.00028,5.09786,NONE
0.020000,optical,50.00450,0.200358,0.53944,24.9946,1.00077,5.01194,5.11360,NONE
0.030000,optical,49.99640,0.200076,0.48499,25.0026,0.99833,5.02798,5.12459,NONE
0.040000,optical,49.99470,0.200005,0.48340,25.0051,1.00085,5.03644,5.11899,NONE
0.050000,optical,50.00723,0.199544,0.47572,24.9960,1.00068,5.03475,5.11591,NONE
0.060000,optical,50.00494,0.200078,0.49867,25.0100,0.99949,5.03651,5.12159,NONE
0.070000,optical,50.00544,0.200147,0.52391,24.9933,1.00081,5.05174,5.11393,NONE
0.080000,optical,49.99951,0.200153,0.52926,24.9985,0.99952,5.06833,5.13250,NONE
0.090000,optical,50.00575,0.199880,0.50867,25.0089,1.00018,5.06612,5.12371,NONE
0.100000,optical,49.99688,0.199605,0.47020,24.9939,0.99800,5.06764,5.12317,NONE
0.110000,optical,49.99529,0.200488,0.51248,24.9909,1.00030,5.07620,5.14764,NONE
0.120000,optical,50.00706,0.200469,0.54065,24.9930,0.99862,5.08129,5.14893,NONE
0.130000,optical,49.99944,0.200094,0.51598,24.9913,0.99820,5.08693,5.13747,NONE
0.140000,optical,50.00120,0.200115,0.51817,24.9956,1.00041,5.11125,5.14255,NONE
0.150000,optical,49.99702,0.200254,0.51241,24.9931,1.00085,5.09397,5.14538,NONE
0.160000,optical,49.99193,0.200459,0.51373,25.0014,1.00118,5.09988,5.15446,NONE
0.170000,optical,50.00147,0.199952,0.54857,25.0030,0.99989,5.11643,5.16818,NONE
0.180000,optical,50.00795,0.199948,0.47813,24.9976,0.99916,5.12375,5.15534,NONE
0.190000,optical,49.99474,0.200240,0.52949,24.9936,0.99992,5.14123,5.16998,NONE
0.200000,optical,49.99874,0.200257,0.47591,25.0015,1.00062,5.13954,5.16025,NONE
