time_s,scenario,kv_meas,tube_ma,return_ua,temp_c,flux,spot_x_um,spot_y_um,flags
0.000000,thermal,50.00308,0.199971,0.54153,24.9936,1.00190,4.98719,5.10883,NONE
0.010000,thermal,49.99716,0.199819,0.45052,25.0304,1.00078,5.00242,5.10121,NONE
0.020000,thermal,50.00450,0.200358,0.53944,25.0716,1.00077,5.01621,5.12029,NONE
0.030000,thermal,49.99640,0.200076,0.48499,25.1181,0.99833,5.03438,5.13462,NONE
0.040000,thermal,49.99470,0.200005,0.48340,25.1590,1.00085,5.04498,5.13235,NONE
0.050000,thermal,50.00723,0.199544,0.47572,25.1884,1.00068,5.04542,5.13260,NONE
0.060000,thermal,50.00494,0.200078,0.49867,25.2408,0.99949,5.04931,5.14162,NONE
0.070000,thermal,50.00544,0.200147,0.52391,25.2624,1.00081,5.06666,5.13729,NONE
0.080000,thermal,49.99951,0.200153,0.52926,25.3060,0.99952,5.08538,5.15919,NONE
0.090000,thermal,50.00575,0.199880,0.50867,25.3547,1.00018,5.08530,5.15372,NONE
0.100000,thermal,49.99688,0.199605,0.47020,25.3779,0.99800,5.08894,5.15650,NONE
0.110000,thermal,49.99529,0.200488,0.51248,25.4131,1.00030,5.09962,5.18429,NONE
0.120000,thermal,50.00706,0.200469,0.54065,25.4533,0.99862,5.10682,5.18888,NONE
0.130000,thermal,49.99944,0.200094,0.51598,25.4896,0.99820,5.11457,5.18073,NONE
0.140000,thermal,50.00120,0.200115,0.51817,25.5318,1.00041,5.14100,5.18910,NONE
0.150000,thermal,49.99702,0.200254,0.51241,25.5672,1.00085,5.12583,5.19522,NONE
0.160000,thermal,49.99193,0.200459,0.51373,25.6134,1.00118,5.13383,5.20759,NONE
0.170000,thermal,50.00147,0.199952,0.54857,25.6527,0.99989,5.15248,5.22458,NONE
0.180000,thermal,50.00795,0.199948,0.47813,25.6848,0.99916,5.16189,5.21501,NONE
0.190000,thermal,49.99474,0.200240,0.52949,25.7183,0.99992,5.18145,5.23290,NONE
0.200000,thermal,49.99874,0.200257,0.47591,25.7636,1.00062,5.18184,5.22643,NONE
0.210000,thermal,49.99330,0.199992,0.53512,25.8085,1.00101,5.19425,5.23542,NONE
0.220000,thermal,50.00215,0.200038,0.47222,25.8353,1.00138,5.20696,5.26875,NONE
0.230000,thermal,50.00197,0.200281,0.54523,25.8813,0.99948,5.21948,5.26178,NONE
0.240000,thermal,49.99495,0.200329,0.53467,25.9155,1.00166,5.20423,5.25376,NONE
0.250000,thermal,50.00257,0.199666,0.45922,25.9413,1.00089,5.21526,5.26693,NONE
0.260000,thermal,50.00035,0.199812,0.48489,25.9907,1.00190,5.23084,5.27218,NONE
0.270000,thermal,49.99119,0.199791,0.48762,26.0206,0.99929,5.23540,5.29472,NONE
0.280000,thermal,49.99355,0.200144,0.52682,26.0613,0.99913,5.26295,5.30950,NONE
0.290000,thermal,49.99288,0.199719,0.48745,26.0890,1.00135,5.24480,5.29939,NONE
0.300000,thermal,50.00253,0.199615,0.46033,26.1288,1.00055,5.27997,5.29556,NONE
0.310000,thermal,50.00531,0.199936,0.47072,26.1656,1.00053,5.27384,5.32592,NONE
0.320000,thermal,49.99291,0.200476,0.54166,26.1988,1.00052,5.27170,5.32730,NONE
0.330000,thermal,50.00635,0.200398,0.54045,26.2331,0.99851,5.29131,5.33803,NONE
0.340000,thermal,50.00918,0.199937,0.50728,26.2741,1.00194,5.29494,5.32106,NONE
0.350000,thermal,50.00412,0.200173,0.45787,26.3013,1.00087,5.31175,5.35490,NONE
0.360000,thermal,50.00592,0.200268,0.51656,26.3424,0.99919,5.31806,5.33793,NONE
0.370000,thermal,50.00499,0.200374,0.52434,26.3851,0.99897,5.32877,5.36032,NONE
0.380000,thermal,49.99810,0.200006,0.52239,26.4178,1.00139,5.33769,5.35559,NONE
0.390000,thermal,50.00454,0.200131,0.52800,26.4481,0.99930,5.35158,5.36447,NONE
0.400000,thermal,49.99570,0.200215,0.52829,26.4717,0.99835,5.35842,5.37459,NONE
0.410000,thermal,50.00179,0.200464,0.46448,26.5153,1.00126,5.35117,5.38389,NONE
0.420000,thermal,50.00070,0.199540,0.46797,26.5362,1.00132,5.35645,5.39752,NONE
0.430000,thermal,49.99774,0.200085,0.54997,26.5692,1.00173,5.37505,5.39265,NONE
0.440000,thermal,49.99991,0.199502,0.52864,26.6160,0.99845,5.36719,5.38847,NONE
0.450000,thermal,49.99741,0.199527,0.50891,26.6357,1.00003,5.38961,5.39380,NONE
0.460000,thermal,50.00249,0.199700,0.46502,26.6673,0.99956,5.40832,5.39936,NONE
0.470000,thermal,49.99193,0.200485,0.49443,26.7082,0.99981,5.41602,5.42623,NONE
0.480000,thermal,49.99100,0.200361,0.49763,26.7359,0.99826,5.40914,5.41023,NONE
0.490000,thermal,50.00347,0.200136,0.49365,26.7712,0.99990,5.42415,5.41563,NONE
0.500000,thermal,49.99732,0.199543,0.48756,26.8107,1.00001,5.43734,5.43585,NONE
0.510000,thermal,49.99392,0.200298,0.53797,26.8262,0.99985,5.41796,5.45124,NONE
0.520000,thermal,50.00449,0.200375,0.51294,26.8691,1.00030,5.44134,5.45089,NONE
0.530000,thermal,49.99838,0.199890,0.48688,26.9017,0.99837,5.45975,5.45826,NONE
0.540000,thermal,49.99028,0.199526,0.46918,26.9192,1.00113,5.45312,5.45460,NONE
0.550000,thermal,50.00813,0.200130,0.53930,26.9519,1.00031,5.44963,5.46285,NONE
0.560000,thermal,49.99258,0.199689,0.45884,26.9943,1.00065,5.46852,5.45270,NONE
0.570000,thermal,50.00660,0.200470,0.45447,27.0213,0.99881,5.47359,5.47782,NONE
0.580000,thermal,50.00875,0.199855,0.45773,27.0390,0.99867,5.49270,5.46370,NONE
0.590000,thermal,49.99637,0.200370,0.49204,27.0825,1.00083,5.47945,5.48491,NONE
0.600000,thermal,50.00507,0.199568,0.52307,27.1074,1.00023,5.48333,5.48836,NONE
0.610000,thermal,49.99732,0.199803,0.51375,27.1229,0.99891,5.48803,5.49164,NONE
0.620000,thermal,50.00636,0.199721,0.47905,27.1557,1.00001,5.50581,5.48841,NONE
0.630000,thermal,50.00688,0.199839,0.48385,27.1789,0.99909,5.50701,5.50679,SPOT_UNSTABLE|THERMAL_ASSOC
0.640000,thermal,50.00503,0.199954,0.45519,27.2153,0.99915,5.53038,5.51447,SPOT_UNSTABLE|THERMAL_ASSOC
